Mfg.,Part No.,Desc.,Units,ID,OD,Length,Material,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine,Engine
Public Missiles,PML BP-01,Fits PT-1.145,in.,0,1.145,0.1875,Birch
Public Missiles,PML BP-02,Fits PT-1.525,in.,0,1.525,0.1875,Birch
Public Missiles,PML BP-03,Fits PT-2.152,in.,0,2.152,0.1875,Birch
Public Missiles,PML BP-04,Fits PT-2.560,in.,0,2.56,0.1875,Birch
Public Missiles,PML BP-05,Fits PT-3.002,in.,0,3.002,0.1875,Birch
Public Missiles,PML BP-06,Fits PT-3.900,in.,0,3.9,0.1875,Birch
Public Missiles,PML BP-15,Fits PT-6.007,in.,0,6.007,0.5,Birch
Public Missiles,PML BP-20,Fits PT-7.512,in.,0,7.512,0.5,Birch
Public Missiles,PML BP-90,Fits PT-11.41,in.,0,11.41,0.5,Birch
Public Missiles,PML CBP-02,Fits CT-1.52,in.,0,1.45,0.1875,Birch
Public Missiles,PML CBP-03,Fits CT-2.15,in.,0,2.088,0.1875,Birch
Public Missiles,PML CBP-04,Fits CT-2.56,in.,0,2.498,0.1875,Birch
Public Missiles,PML CBP-05,Fits CT-3.00,in.,0,2.938,0.1875,Birch
Public Missiles,PML CBP-06,Fits CT-3.90,in.,0,3.83,0.1875,Birch
Public Missiles,PML CBP-15,Fits CT-6.00,in.,0,5.926,0.5,Birch
Public Missiles,PML CBP-20,Fits CT-7.51,in.,0,7.43,0.5,Birch
Public Missiles,PML CBP-90,Fits CT-11.4,in.,0,11.28,0.5,Birch
